,FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
35,13073,GA,Columbia,0.074060856,0.179431542,0.044507726,0.050477601,0.075103447,0.203735846,0.078551935,0.108858317,0.042892647,0.011695633
36,13075,GA,Cook,0.007684816,0.134189786,0.015145936,0.12380419,0.008610766,0.168354728,0.010771512,0.107586384,0.023516972,0.216451252
37,13077,GA,Coweta,0.116044144,0.27393919,0.140952074,0.155759894,0.116698417,0.308456137,0.147145176,0.198687998,0.106221394,0.096114973
38,13079,GA,Crawford,3.35E-05,0.000797311,8.37E-05,0.000932159,1.30E-05,0.00034511,2.44E-05,0.000332095,0.020994905,0.268948994
39,13081,GA,Crisp,0.023791166,0.305066119,0.072075451,0.432632221,0.027383159,0.393150937,0.027426412,0.201160132,0.089441831,0.582981335
40,13083,GA,Dade,0.002437903,0.044051756,0.003742373,0.031655344,0.001959995,0.039655109,0.004052791,0.041888575,0.016781593,0.152475445
41,13085,GA,Dawson,0,0,0,0,0,0,0,0,0.003970462,0.006600838
42,13087,GA,Decatur,0.01554838,0.167842544,0.030603851,0.15464868,0.014916003,0.180288028,0.0223793,0.138184097,0.054377467,0.294597888
43,13089,GA,DeKalb,0.652886237,0.283606324,0.951627643,0.193507893,0.618279378,0.300718863,0.622782917,0.154742552,0.506932533,0.063015535
44,13091,GA,Dodge,0.001582833,0.021826076,0.004064668,0.02623728,0.001689171,0.026080245,0.002230193,0.017590481,0.035032876,0.242752985
45,13093,GA,Dooly,0.01794467,0.361528227,0.037188298,0.350724639,0.010365975,0.233837639,0.020774456,0.239403816,0.032066299,0.369868797
46,13095,GA,Dougherty,0.141629832,0.450133824,0.31447506,0.467871243,0.137122394,0.487969645,0.185080738,0.336467248,0.21296345,0.313862942
47,13097,GA,Douglas,0.151417312,0.343712273,0.215499686,0.228991514,0.157058398,0.399188651,0.1525996,0.198137907,0.079649123,0.057924172
